Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.NestedPackagePublisher.Plugin.Description,Toggles the Template plugin window.,Schaltet das Vorlagen-Plugin-Fenster um.,Toggles the Template plugin window.,Alterna la ventana del plugin Plantilla.,Active/désactive la fenêtre du plugin Modèle.,Attiva/Disattiva la finestra del plugin template.,テンプレートのプラグインウィンドウを切りかえ。,템플릿 플러그인 창을 토글합니다.,Alterna a janela do plugin de modelos.,切换样板插件窗口。,切换样板插件窗口。,切換樣板外掛程式視窗。
Studio.NestedPackagePublisher.Plugin.Name,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,Publicador de paquete anidado,NestedPackagePublisher,NestedPackagePublisher,ネスト化済みパッケージパブリッシャー,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher
Studio.NestedPackagePublisher.Plugin.Toolbar,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,Publicador de paquete anidado,NestedPackagePublisher,NestedPackagePublisher,ネスト化済みパッケージパブリッシャー,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher,NestedPackagePublisher
Studio.NestedPackagePublisher.Plugin.Button,Toggle,Umschalten,Toggle,Alternar,Activer/désactiver,Attiva/disattiva,切りかえ,토글,Alternador,切换,切换,切換
Studio.NestedPackagePublisher.Action.Cancel,Cancel,Abbrechen,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar,取消,取消,取消
Studio.NestedPackagePublisher.Action.Publish,Publish,Veröffentlichen,Publish,Publicar,Publier,Pubblica,公開,게시,Publicar,发布,发布,發布
