Key,en-us
Studio.NestedPackagePublisher.Plugin.Button,Toggle
Studio.NestedPackagePublisher.Plugin.Description,Toggles the Template plugin window.
Studio.NestedPackagePublisher.Plugin.Name,NestedPackagePublisher
Studio.NestedPackagePublisher.Plugin.Toolbar,NestedPackagePublisher
