Key,Source,en-us
Studio.GlobalWind.Plugin.Name,GlobalWind,GlobalWind
Studio.GlobalWind.Plugin.Toolbar,GlobalWind,GlobalWind
Studio.GlobalWind.Plugin.Button,Toggle,Toggle
Studio.GlobalWind.Plugin.Description,Toggles the Template plugin window.,Toggles the Template plugin window.
