Key,Source,en-us
Studio.ActivityFeed.Plugin.Name,ActivityFeed,ActivityFeed
Studio.ActivityFeed.Plugin.Button,Toggle,Toggle
Studio.ActivityFeed.Plugin.Description,Toggles the Template plugin window.,Toggles the Template plugin window.
