Key,Source,de-de,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.StyleEditor.Plugin.Text,Example Text!,Beispieltext!,Example Text!,Texto de ejemplo,Exemple de texte !,Testo di esempio!,テキストの例！,예시 텍스트!,Texto de exemplo!,示例文本！,示例文本！,範例文字！
Studio.StyleEditor.Plugin.Name,StyleEditor,StyleEditor,StyleEditor,Editor de estilos,StyleEditor,StyleEditor,書体エディタ,StyleEditor,StyleEditor,StyleEditor,StyleEditor,StyleEditor
Studio.StyleEditor.Plugin.Toolbar,StyleEditor,StyleEditor,StyleEditor,Editor de estilos,StyleEditor,StyleEditor,書体エディタ,StyleEditor,StyleEditor,StyleEditor,StyleEditor,StyleEditor
Studio.StyleEditor.Plugin.Button,Toggle,Umschalten,Toggle,Alternar,Activer/désactiver,Attiva/disattiva,切りかえ,토글,Alternar,切换,切换,切換
Studio.StyleEditor.Plugin.Description,Toggle the Style Editor.,Schalte den Stil-Editor um.,Toggle the Style Editor.,Alternar Editor de estilos.,Activer/désactiver l'éditeur de style.,Attiva/disattiva l'editor di stile.,書体エディタを切りかえ。,스타일 편집기를 토글합니다.,Alternar o Editor de estilo.,切换风格编辑器。,切换风格编辑器。,切換風格編輯器。
