Key,Source,en-us,ko,zh-cn
Studio.EventEmulator.Plugin.Name,EventEmulator,EventEmulator,EventEmulator,EventEmulator
Studio.EventEmulator.Plugin.Toolbar,Event Emulator,Event Emulator,이벤트 에뮬레이터,事件模拟器
Studio.EventEmulator.Plugin.Button,Toggle,Toggle,토글,切换
Studio.EventEmulator.Plugin.Description,Toggles the EventEmulator plugin window.,Toggles the EventEmulator plugin window.,EventEmulator 플러그인 창을 토글합니다.,切换 EventEmulator 插件窗口
