Key,en-us
Studio.EventEmulator.Plugin.Name,EventEmulator
Studio.EventEmulator.Plugin.Toolbar,Event Emulator
Studio.EventEmulator.Plugin.Button,Toggle
Studio.EventEmulator.Plugin.Description,Toggles the EventEmulator plugin window.
