Key,Source,Context,en-us,zh-cn
Studio.Toolbox.General.SortByText,Sort by:, ,Sort by:,排序方式：
Studio.Toolbox.General.SortByRelevance,Relevance, ,Relevance,关联
Studio.Toolbox.General.SortByMostTaken,Most Taken, ,Most Taken,最多采用
Studio.Toolbox.General.SortByFavorites,Favorites, ,Favorites,收藏
Studio.Toolbox.General.SortByUpdated,Updated, ,Updated,已更新
Studio.Toolbox.General.SortByRatings,Ratings, ,Ratings,评级
Studio.Toolbox.General.AssetCreatorIntroText,by {name:username}, ,by {name:username},作者：{name:username}
Studio.Toolbox.General.VotingVoteText,vote, ,vote,票
Studio.Toolbox.General.VotingVotesText,votes, ,votes,票
Studio.Toolbox.General.FooterBGText,Background:, ,Background:,背景：
Studio.Toolbox.General.FooterButtonWhiteName,White, ,White,白色
Studio.Toolbox.General.FooterButtonBlackName,Black, ,Black,黑色
Studio.Toolbox.General.FooterButtonNoneName,None, ,None,无
Studio.Toolbox.General.EndorseBadgeTooltipText,Marked as a high-quality item, ,Marked as a high-quality item,标记为高品质的项目
Studio.Toolbox.General.InfoBannerText,No results found, ,No results found,未找到结果
Studio.Toolbox.General.CategoryEndorsedPlugins,EndorsedPlugins, ,EndorsedPlugins,官方认可的插件
Studio.Toolbox.General.SearchResults,Search Results, ,Search Results,搜索结果
Studio.Toolbox.General.SearchResultsKeyword,Search Results for, ,Search Results for,搜索结果：
Studio.Toolbox.General.SearchResultsClearAll,Clear, ,Clear,清除
Studio.Toolbox.General.SearchOptionCreator,Creator, ,Creator,创建者
Studio.Toolbox.General.SearchOptionSort,Sort By, ,Sort By,排序方式
Studio.Toolbox.General.SearchOptionsApply,Apply, ,Apply,应用
Studio.Toolbox.General.SearchOptionsCancel,Cancel, ,Cancel,取消
Studio.Toolbox.General.SearchTagCreator,by:, ,by:,作者：
Studio.Toolbox.General.TabMarketplace,Marketplace, ,Marketplace,市集
Studio.Toolbox.General.TabInventory,Inventory, ,Inventory,道具
Studio.Toolbox.General.TabRecent,Recent, ,Recent,最近
Studio.Toolbox.General.TabCreations,Creations, ,Creations,Creations
Studio.Toolbox.General.RightClickMenuCopyAssetID,Copy Asset ID, ,Copy Asset ID,Copy Asset ID
Studio.Toolbox.General.RightClickMenuCopyAssetURI,Copy Asset URI, ,Copy Asset URI,Copy Asset URI
Studio.Toolbox.General.RightClickMenuViewInBrowser,View In Browser, ,View In Browser,View In Browser
Studio.Toolbox.General.RightClickMenuConfigureAsset,Configure asset, ,Configure asset,Configure asset
Studio.Toolbox.General.RightClickMenuEditAsset,Edit Asset, ,Edit Asset,Edit Asset
Studio.Toolbox.General.RightClickMenuReport,Report, ,Report,Report
Studio.Toolbox.General.StatusReviewPending,In Review, ,In Review,In Review
Studio.Toolbox.General.StatusModerated,Rejected, ,Rejected,Rejected
Studio.Toolbox.General.StatusReviewApproved,Ready For Sale, ,Ready For Sale,Ready For Sale
Studio.Toolbox.General.StatusOnSale,On Sale, ,On Sale,On Sale
Studio.Toolbox.General.StatusOffSale,Off Sale, ,Off Sale,Off Sale
Studio.Toolbox.General.StatusDelayedRelease,Ready For Sale, ,Ready For Sale,Ready For Sale
Studio.Toolbox.General.StatusUnknown,Unknown, ,Unknown,Unknown
Studio.Toolbox.General.AssetTypeModel,Model, ,Model,Model
Studio.Toolbox.General.AssetTypeDecal,Decal, ,Decal,Decal
Studio.Toolbox.General.AssetTypeMesh,Mesh, ,Mesh,Mesh
Studio.Toolbox.General.AssetTypeAudio,Audio, ,Audio,Audio
Studio.Toolbox.General.AssetTypeHat,Hat, ,Hat,Hat
Studio.Toolbox.General.AssetTypeTeeShirt,T-Shirt, ,T-Shirt,T-Shirt
Studio.Toolbox.General.AssetTypeShirt,Shirt, ,Shirt,Shirt
Studio.Toolbox.General.AssetTypePants,Pants, ,Pants,Pants
Studio.Toolbox.General.AssetTypePlugin,Plugin, ,Plugin,Plugin
Studio.Toolbox.General.AssetTypeHairAccessory,Hair, ,Hair,Hair
Studio.Toolbox.General.AssetTypeFaceAccessory,Face Accessory, ,Face Accessory,Face Accessory
Studio.Toolbox.General.AssetTypeNeckAccessory,Neck Accessory, ,Neck Accessory,Neck Accessory
Studio.Toolbox.General.AssetTypeShoulderAccessory,Shoulder Accessory, ,Shoulder Accessory,Shoulder Accessory
Studio.Toolbox.General.AssetTypeFrontAccessory,Front Accessory, ,Front Accessory,Front Accessory
Studio.Toolbox.General.AssetTypeBackAccessory,Back Accessory, ,Back Accessory,Back Accessory
Studio.Toolbox.General.AssetTypeWaistAccessory,Waist Accessory, ,Waist Accessory,Waist Accessory
Studio.Toolbox.General.DiscardMessage,Would you like to discard all changes?, ,Would you like to discard all changes?,Would you like to discard all changes?
Studio.Toolbox.General.Discard,Discard, ,Discard,丢弃
Studio.Toolbox.General.Title,Title, ,Title,Title
Studio.Toolbox.General.Description,Description, ,Description,Description
Studio.Toolbox.General.Ownership,Creator, ,Creator,Creator
Studio.Toolbox.General.Genre,Genre, ,Genre,Genre
Studio.Toolbox.General.Copy,Allow Copying, ,Allow Copying,Allow Copying
Studio.Toolbox.General.Comments,Allow Comments, ,Allow Comments,Allow Comments
Studio.Toolbox.General.LearnMore,Learn more, ,Learn more,Learn more
Studio.Toolbox.General.Me,Me, ,Me,Me
Studio.Toolbox.General.AssetType,Asset type, ,Asset type,Asset type
Studio.Toolbox.General.SalesSale,Sale, ,Sale,Sale
Studio.Toolbox.General.SalesOnsale,Onsale, ,Onsale,Onsale
Studio.Toolbox.General.SalesOnsaleApplyToSave,Onsale (apply to save changes), ,Onsale (apply to save changes),Onsale (apply to save changes)
