Studio.Debugger.Watch.FilterScopes,Filter by scopes,Filter by scopes
Studio.Debugger.Watch.VariablesTab,Variables,Variables
Studio.Debugger.Watch.WatchesTab,My Watches,My Watches
Studio.Debugger.Watch.NameColumn,Name,Name
Studio.Debugger.Watch.NameColumnTooltip,The declared name of a variable,The declared name of a variable
Studio.Debugger.Watch.ScopeColumn,Scope,Scope
Studio.Debugger.Watch.ExpressionColumn,Expression,Expression
Studio.Debugger.Watch.ScopeColumnTooltip,The scope of a variable: where it can be “seen” and accessed,The scope of a variable: where it can be “seen” and accessed
Studio.Debugger.Watch.ValueColumn,Value,Value
Studio.Debugger.Watch.ValueColumnTooltip,The current value of a variable,The current value of a variable
Studio.Debugger.Watch.DataTypeColumn,Data Type,Data Type
Studio.Debugger.Watch.DataTypeColumnTooltip,The data type of a variable,The data type of a variable
