Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.BootcampPlugin.Plugin.Name,,,Plugin Bootcamp,Plugin Bootcamp,"المكون الإضافي ""معسكر تجريبي""",Plugin Bootcamp,Entrenamiento para plugins,Formation sur les plugins,प्लग-इन बूटकैंप,Bootcamp Plugin,Bootcamp plugin,プラグインブートキャンプ,플러그인 부트캠프,Bootcamp dotyczący dodatków plug-in,Campo de treinamento em plugins,,บูทแคมป์ปลั๊กอิน,Eklenti Kampı,Trại Huấn Luyện Plugin,插件训练营,插件训练营,外掛程式訓練營
Studio.BootcampPlugin.Plugin.Toolbar,,,Plugin Bootcamp,Plugin Bootcamp,"المكون الإضافي ""معسكر تجريبي""",Plugin Bootcamp,Entrenamiento para plugins,Formation sur les plugins,प्लग-इन बूटकैंप,Bootcamp Plugin,Bootcamp plugin,プラグインブートキャンプ,플러그인 부트캠프,Bootcamp dotyczący dodatków plug-in,Campo de treinamento em plugins,,บูทแคมป์ปลั๊กอิน,Eklenti Kampı,Trại Huấn Luyện Plugin,插件训练营,插件训练营,外掛程式訓練營
Studio.BootcampPlugin.Plugin.Button,,,Bootcamp,Bootcamp,معسكر تدريبي,Bootcamp,Entrenamiento,Formation,बूटकैंप,Bootcamp,Bootcamp,ブートキャンプ,부트캠프,Bootcamp,Campo de treinamento,,บูทแคมป์,Kamp,Trại Huấn Luyện,训练营,训练营,訓練營
Studio.BootcampPlugin.Plugin.Description,,,An example plugin to practice plugin development.,An example plugin to practice plugin development.,مثال على مكون إضافي لممارسة تطوير المكونات الإضافية.,"Ein Beispiel-Plugin, um die Entwicklung von Plugins zu üben.",Un ejemplo de plugin para practicar el desarrollo de plugins.,Un exemple de plugin pour s'entraîner au développement de plugins.,प्लग-इन डेवलपमेंट की प्रैक्टिस करने के लिए उदाहरण प्लग-इन.,Plugin contoh untuk berlatih mengembangkan plugin.,Un plugin di esempio per esercitarsi nello sviluppo dei plugin.,プラグイン開発の練習のためのプラグインの例。,플러그인 개발을 연습하기 위한 예제 플러그인입니다.,"Przykładowy dodatek plug-in, na którym można przećwiczyć tworzenie dodatków plug-in.",Um plugin de exemplo para praticar o desenvolvimento de plugins.,,ปลั๊กอินตัวอย่างในการฝึกการพัฒนาปลั๊กอิน,Eklenti geliştirme egzersizi için örnek bir eklenti.,Một plugin mẫu để thực hành phát triển plugin.,用来练习插件开发的示例插件,用来练习插件开发的示例插件,用來練習外掛程式開發的範例外掛程式，
Studio.BootcampPlugin.TutorialComponents.MyJiraTicket,,,My Button,My Button,الزر الخاص بي,Meine Schaltfläche,Mi botón,Mon bouton,मेरा बटन,Tombol Saya,Il mio pulsante,マイボタン,내 버튼,Mój przycisk,Meu botão,,ปุ่มของฉัน,Düğmem,Nút Của Tôi,我的按钮,我的按钮,我的按鈕
Studio.BootcampPlugin.TutorialComponents.STM643,,,My Button,My Button,الزر الخاص بي,Meine Schaltfläche,Mi botón,Mon bouton,मेरा बटन,Tombol Saya,Il mio pulsante,マイボタン,내 버튼,Mój przycisk,Meu botão,,ปุ่มของฉัน,Düğmem,Nút Của Tôi,我的按钮,我的按钮,我的按鈕
