Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.TeamCreateStatusIndicator.PlaceUploadFailingMessage,,,Saving this place to Roblox has been failing.,Saving this place to Roblox has been failing.,,Das Speichern dieses Ortes in Roblox ist fehlgeschlagen.,No se pudo guardar este lugar en Roblox.,L'enregistrement de ce lieu sur Roblox a échoué.,Roblox पर यह प्लेस सेव नहीं हो पा रहा है.,Gagal menyimpan tempat ini ke Roblox.,Il salvataggio di questo posto su Roblox non è andato a buon fine.,このプレースをRobloxに保存できませんでした。,이 플레이스를 Roblox에 저장하지 못하고 있습니다.,Nie udaje się zapisać tego miejsca w Robloxie.,Tem ocorrido erros ao salvar este local na Roblox.,,บันทึกสถานที่นี้ไปยัง Roblox ไม่สำเร็จ,Bu dünya Roblox'a kaydedilemiyor.,Không thể lưu địa điểm này vào Roblox.,将此场景保存到 Roblox 失败。,将此场景保存到 Roblox 失败。,將此地點儲存到 Roblox 時發生錯誤。
Studio.TeamCreateStatusIndicator.PlaceUploadFailingTitle,,,Place upload is failing.,Place upload is failing.,,Ort-Upload schlägt fehl.,La carga del lugar está fallando.,Le téléchargement du lieu a échoué.,प्लेस अपलोड नहीं हो पा रहा है.,Upload tempat gagal.,Il caricamento del luogo non è riuscito.,プレースのアップロードに失敗しました。,플레이스를 업로드하지 못하고 있습니다.,Przesyłanie miejsca nie powiodło się.,O envio do local tem apresentado falha.,,เกิดข้อผิดพลาดในการอัปโหลดสถานที่,Dünya yüklenemiyor.,Không tải được địa điểm lên.,场景上传失败。,场景上传失败。,地點上傳失敗。
Studio.TeamCreateStatusIndicator.PlaceUploadFailingTip,,,Auto Recovery has started to create a local backup. Check the Output Window for details.,Auto Recovery has started to create a local backup. Check the Output Window for details.,,"Die automatische Wiederherstellung hat begonnen, eine lokale Sicherung zu erstellen. Weitere Informationen findest du im Ausgabefenster.",La recuperación automática ha comenzado a crear una copia de seguridad local. Consulta la ventana de salida para obtener más información.,La récupération automatique a commencé à créer une sauvegarde locale. Consulte la fenêtre de sortie pour plus de détails.,ऑटो रिकवरी ने लोकल बैकअप बनाना शुरू कर दिया है. जानकारी के लिए आउटपुट विंडो देखें.,Pemulihan Otomatis untuk membuat cadangan lokal sudah mulai. Periksa Jendela Output untuk detailnya.,Il ripristino automatico ha avviato la creazione di un backup locale. Controlla la finestra di output per i dettagli.,自動回復がローカルバックアップの作成を開始しました。詳細については、出力ウィンドウを確認してください。,로컬 백업을 생성하기 위해 자동 복구가 시작되었습니다. 자세한 내용은 출력 창을 확인하세요.,Automatyczne odzyskiwanie rozpoczęło tworzenie lokalnej kopii zapasowej. Szczegóły znajdziesz w oknie wyników.,A recuperação automática começou a criar um backup local. Verifique a janela de saída para mais informações.,,ระบบกู้คืนอัตโนมัติเริ่มสร้างข้อมูลสำรองในเครื่องแล้ว ตรวจสอบรายละเอียดได้ที่หน้าต่างเอาต์พุต,Otomatik Kurtarma yerel bir yedekleme oluşturmaya başladı. Ayrıntılar için Çıktı Penceresini kontrol et.,Khôi phục tự động đã bắt đầu tạo bản sao lưu cục bộ. Kiểm tra Cửa sổ kết quả để xem chi tiết,已开始自动恢复并创建本地备份。请检查输出窗口以了解详细信息。,已开始自动恢复并创建本地备份。请检查输出窗口以了解详细信息。,已啟動自動復原以建立本機備份。如欲瞭解詳情，請查看輸出視窗。
