Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.AssetInserter.Plugin.Name,,,Asset Inserter,Asset Inserter,,Asset Inserter,Insertador de recurso,Dispositif d'insertion de contenus,ऐसेट इंसर्टर,Penyisip Aset,Inseritore di risorse,,애셋 삽입기,Narzędzie wstawiania zasobów,,,เครื่องมือแทรกแอสเซท,Varlık Ekleyici,Công cụ chèn tài sản,,,素材插入工具
Studio.AssetInserter.Progress.Title,,,Inserting Assets,Inserting Assets,,Objekte werden eingefügt,,Insérer des contenus,ऐसेट्स डाले जा रहे हैं,Memasukkan Aset,Inserimento di risorse,,애셋 삽입 중,Wstawianie zasobów,,,กำลังแทรกทรัพยากร,Varlıklar ekleniyor,Đang chèn tài sản,,,正在插入素材
