Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.ExplorerGuest.CounterExample.Button,,,Push me!,Push me!,,Drück mich!,¡Presióname!,Pousse-moi !,,,,,,Me aperte!,,กดฉันสิ!,,,,,
Studio.ExplorerGuest.Plugin.Name,,,ExplorerGuest,ExplorerGuest,,ExplorerGuest,ExplorerGuest,ExplorerGuest,,,,,,ExplorerGuest,,ExplorerGuest,,,,,
Studio.ExplorerGuest.Plugin.Button,,,Explorer Guest,Explorer Guest,,Gastforscher,Invitado explorador,Invité de l'explorateur,,,,,,Explorer Guest,,ผู้เยี่ยมชม Explorer,,,,,
Studio.ExplorerGuest.Plugin.Description,,,A template for all your studio plugin needs!,A template for all your studio plugin needs!,,Eine Vorlage für alle deine Studio-Plugins!,Una plantilla para todos tus plugins de Studio.,Un modèle pour tous tes besoins de plugin Studio !,,,,,,Um modelo para todas as suas necessidades de plugins do Studio!,,เทมเพลตสำหรับทุกความต้องการของปลั๊กอิน Studio ของคุณ!,,,,,
Studio.ExplorerGuest.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,,Capybaras sind süß!,¡Los capibaras son lindos!,Les capybaras sont mignons !,,,,,,Capivaras são fofas!,,พวกคาปิบาร่าน่ารักจัง!,,,,,
Studio.ExplorerGuest.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,,Du hast mich {counter} mal gedrückt!,Me presionaste {counter} veces.,Tu m'as pressé {counter} fois !,,,,,,Você me pressionou {counter} vezes!,,คุณกดฉัน {counter} ครั้งแล้ว!,,,,,
