Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PluginChangedWatcher.Output.ChangeDetected,,,Detected add/change: {plugin}; loading/reloading the plugin now!,Detected add/change: {plugin}; loading/reloading the plugin now!,تم اكتشاف إضافة/تغيير: {plugin}؛ يتم تحميل/إعادة تحميل المكون الإضافي الآن!,Hinzufügung/Änderung erkannt: {plugin}; das Plugin wird jetzt geladen/neu geladen!,Detectado añadir/cambio: {plugin}; ¡cargar/volver a cargar el plugin ahora!,Ajout/modification détectée : {plugin}; chargement/rechargement du plugin maintenant !,डिस्क जोड़ने/बदलने का पता चला : {plugin}; अभी प्लग-इन लोड/दोबारा लोड हो रहा है!,Penambahan/perubahan terdeteksi: {plugin}; me-load/me-reload plugin sekarang!,Rilevata aggiunta/modifica: {plugin}; caricamento/ricaricamento del plugin in corso!,追加または変更を検出: {plugin}: 現在、プラグインの読み込みまたは再読み込み中！,추가 또는 변경 감지: {plugin}; 지금 플러그인을 (다시) 불러오는 중입니다!,Wykryto dodanie/zmianę: {plugin}; trwa wczytywanie lub ponowne wczytywanie dodatku plug-in!,Foi detectado adicionar/alterar: {plugin}; carregando/recarregando o plugin agora!,,ตรวจพบการเพิ่ม/เปลี่ยน: {plugin}; กำลังโหลด/กำลังรีโหลดปลั๊กอินอยู่ตอนนี้!,Ekleme/değişiklik tespit edildi. {plugin}: Eklenti şu anda yükleniyor/tekrar yükleniyor!,Phát hiện thao tác thêm/thay đổi: {plugin}; hiện đang tải/tải lại plugin!,检测到添加/更改：{plugin}；立即加载/重新加载插件！,检测到添加/更改：{plugin}；立即加载/重新加载插件！,偵測到新增/變更：{plugin}；立即載入/重新載入外掛程式！
Studio.PluginChangedWatcher.Output.RemovalDetected,,,Detected removal: {plugin}; unloading the plugin now!,Detected removal: {plugin}; unloading the plugin now!,تم اكتشاف إزالة: {plugin}؛ يتم إلغاء تحميل المكون الإضافي الآن!,Entfernung erkannt: {plugin}; das Plugin wird jetzt entladen!,Eliminación detectada: {plugin}; ¡Descargando el plugin ahora!,Suppression détectée : {plugin}; déchargement du plugin maintenant !,डिस्क हटाने का पता चला : {plugin}; अभी प्लग-इन को अनलोड किया जा रहा है!,Penghapusan terdeteksi: {plugin}; me-unload plugin sekarang!,Rilevata rimozione: {plugin}; rimozione del plugin in corso!,削除を検出: {plugin}: 現在、プラグインのアップロード中！,제거 감지: {plugin}; 지금 플러그인을 언로드 중입니다!,Wykryto usunięcie: {plugin}; trwa usuwanie dodatku plug-in!,Remoção detectada: {plugin}; descarregando o plugin agora!,,ตรวจพบการลบ: {plugin}; กำลังถอนการโหลดปลั๊กอินอยู่ตอนนี้!,Kaldırma tespit edildi. {plugin}: Eklenti şu anda kaldırılıyor!,Phát hiện thao tác gỡ bỏ: {plugin}; hiện đang gỡ bỏ plugin!,检测到删除：{plugin}；立即卸载插件！,检测到删除：{plugin}；立即卸载插件！,偵測到移除：{plugin}；立即卸載外掛程式！
