Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.SuperTemplate.Plugin.Description,,,A template for all your studio plugin needs!,A template for all your studio plugin needs!,قالب لجميع احتياجاتك من مكونات studio الإضافية!,Eine Vorlage für alle deine Studio-Plugins!,Una plantilla para todos tus plugins de Studio.,Un modèle pour tous tes besoins de plugin Studio !,आपके studio प्लग-इन की सभी ज़रूरतों के लिए एक टेम्पलेट!,Templat untuk semua kebutuhan plugin studiomu!,Un modello per tutte le tue esigenze di plugin per Studio!,Studioプラグインに関するあらゆるニーズに対応するテンプレート！,모든 Studio 플러그인 니즈를 충족하는 템플릿!,"Szablon, który zaspokoi wszystkie twoje potrzeby związane z dodatkami plug-in w Studio!",Um modelo para todas as suas necessidades de plugins do Studio!,,เทมเพลตสำหรับทุกความต้องการของปลั๊กอิน Studio ของคุณ!,Studio'daki tüm eklenti ihtiyaçlarını karşılayacak bir taslak!,Một mẫu dành cho mọi nhu cầu plugin studio của bạn!,,,可滿足您所有 Studio 外掛程式需求的範本！
Studio.SuperTemplate.Plugin.Button,,,Super Template,Super Template,قالب مميز,Super-Vorlage,Súper plantilla,Super Modèle,सुपर टेम्पलेट,Templat Super,Super Template,スーパーテンプレート,슈퍼 템플릿,Superszablon,Super modelo,,ซูเปอร์เทมเพลต,Süper Taslak,Mẫu Siêu Cấp,,,超級範本
Studio.SuperTemplate.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,خنزير الماء لطيف!,Capybaras sind süß!,¡Las capibaras son lindas!,Les capybaras sont mignons !,कैपीबरा प्यारे होते हैं!,Capybaras are cute!,I capibara sono carini!,カピバラはかわいい！,귀여운 카피바라!,Kapibary są słodkie!,Capivaras são fofas!,,พวกคาปิบาร่าน่ารักจัง!,Kapibaralar çok şirin!,Chuột lang thật dễ thương!,,,水豚很可愛！
Studio.SuperTemplate.Plugin.Name,,,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,SuperTemplate,,SuperTemplate,Süper Taslak,SuperTemplate,,,SuperTemplate
Studio.SuperTemplate.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,لقد ضغطت علي {counter} مرات!,Du hast mich {counter} mal gedrückt!,Me presionaste {counter} veces.,Tu m'as pressé {counter} fois !,आपने मुझे {counter} बार दबाया!,You pressed me {counter} times!,Mi hai premuto {counter} volte!,{counter} 回押しました,날 {counter}번이나 눌렀군요!,Naciśnięto mnie {counter} razy!,Você me pressionou {counter} vezes!,,คุณกดฉัน {counter} ครั้งแล้ว!,Buraya {counter} kez bastın!,Bạn đã nhấn tôi {counter} lần!,,,您按了我 {counter} 次！
Studio.SuperTemplate.CounterExample.Button,,,Push me!,Push me!,ادفعني!,Drück mich!,¡Presióname!,Pousse-moi !,मुझे पुश करें!,Push me!,Premimi!,押す,날 밀어요!,Naciśnij mnie!,Me aperte!,,กดฉันสิ!,Buraya bas!,Hãy nhấn tôi đi!,,,按下我！
