Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.QuotaErrorThree,,,You've reached your daily limit for this Beta feature. Come back tomorrow!,You've reached your daily limit for this Beta feature. Come back tomorrow!,لقد وصلت إلى الحدّ الأقصى اليومي المسموح به لميزة الإصدار التجريبي الحالية. يمكنك إعادة المحاولة غدًا!,Du hast dein Tageslimit für diese Beta-Funktion erreicht. Komm morgen wieder!,Has alcanzado tu límite diario para esta función Beta. ¡Regresa mañana!,Tu as atteint ta limite quotidienne pour cette fonctionnalité Bêta. Reviens demain !,इस बीटा फ़ीचर के लिए आप अपनी रोज़ की लिमिट तक पहुँच गए हैं. कल फिर से संपर्क करें!,Kamu sudah mencapai batas harian untuk fitur Beta. Kembali lagi besok!,Hai raggiunto il tuo limite giornaliero per questa funzione Beta. Torna domani!,このベータ機能の1日あたりの制限に達しました。明日またお試しください！,베타 기능의 일일 한도에 도달했습니다. 내일 또 오세요!,Osiągnięto limit dzienny dla tej funkcji w wersji beta. Wróć jutro!,Você atingiu seu limite diário para este recurso Beta. Volte amanhã!,,คุณสมบัติเวอร์ชันเบต้านี้ถึงขีดจำกัดรายวันแล้ว กลับมาใหม่อีกครั้งในวันพรุ่งนี้!,Beta özellik için günlük sınıra ulaştın. Yarın tekrar gel!,Bạn đã đạt giới hạn hàng ngày đối với tính năng Beta này. Hãy quay lại vào ngày mai!,你已达到此测试功能的每日使用上限。请明天再试！,你已达到此测试功能的每日使用上限。请明天再试！,您已達到此 Beta 測試功能的每日上限。明天再回來吧！
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.InappropriateRequestOne1,,,I can only help with requests that follow Roblox Community Standards: {url},I can only help with requests that follow Roblox Community Standards: {url},يمكنني فقط المساعدة في الطلبات التي تتبع معايير مجتمع Roblox: {url},"Ich kann nur bei Anfragen helfen, die den Roblox-Community-Regeln entsprechen: {url}",Solo puedo ayudar con las solicitudes que siguen las Normas de la comunidad de Roblox: {url},Je ne peux que t'aider avec les demandes qui suivent les standards de la communauté Roblox : {url},"सिर्फ़ उन रिक्वेस्ट में मदद की जा सकती है, जो Roblox के कम्यूनिटी स्टैंडर्ड का पालन करते हैं : {url}",Saya hanya dapat membantu permintaan yang mengikuti Standar Komunitas Roblox: {url},Posso aiutare solo con le richieste che seguono gli standard della comunità Roblox: {url},Robloxコミュニティ基準に従うリクエストにしか対応できません: {url},Roblox 커뮤니티 규정을 준수하는 요청에만 답변해 드릴 수 있습니다: {url},Mogę pomóc wyłącznie w przypadku próśb zgodnych ze Standardami Społeczności platformy Roblox: {url},Eu só posso ajudar com solicitações que seguem as Regras da Comunidade Roblox: {url},,ฉันสามารถให้ความช่วยเหลือได้เฉพาะคำขอที่เป็นไปตามมาตรฐานชุมชน Roblox เท่านั้น: {url},Yalnızca Roblox Topluluk Standartları'nı takip eden istekler konusunda yardımcı olabilirim: {url},Tôi chỉ có thể giúp xử lý các yêu cầu tuân theo Tiêu Chuẩn Cộng Đồng Roblox: {url},我只能处理符合《Roblox 社区准则》的请求：{url},我只能处理符合《Roblox 社区准则》的请求：{url},我只能對符合 Roblox 社群標準（{url}）的請求提供協助
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.InappropriateRequestTwo1,,,Try asking me something else. All requests need to follow Roblox Community Standards: {url},Try asking me something else. All requests need to follow Roblox Community Standards: {url},حاول أن تطلب شيئًا آخر. يجب أن تتبع جميع الطلبات معايير مجتمع Roblox: {url},"Versuche, mich etwas anderes zu fragen. Alle Anfragen müssen den Roblox-Community-Regeln entsprechen: {url}",Intenta preguntarme otra cosa. Todas las solicitudes deben seguir las Normas de la comunidad de Roblox: {url},Essaie de me demander autre chose. Toutes les demandes doivent suivre les normes de la communauté Roblox : {url},मुझसे कुछ और पूछें. सभी रिक्वेस्ट के लिए Roblox के कम्यूनिटी स्टैंडर्ड का पालन करना ज़रूरी है : {url},Coba sampaikan permintaan lain. Semua permintaan harus mengikuti Standar Komunitas Roblox: {url},Prova a chiedermi qualcos'altro. Tutte le richieste devono seguire gli standard della comunità Roblox: {url},別の質問をしてみてください。すべてのリクエストはRoblox（ロブロックス）のコミュニティ基準に従う必要があります: {url},다른 질문을 해 주세요. 모든 질문은 Roblox 커뮤니티 규정을 준수하는 것이어야 합니다: {url},Spróbuj poprosić mnie o coś innego. Wszystkie prośby muszą być zgodne ze Standardami Społeczności platformy Roblox: {url},Tente perguntar outra coisa. Todas as solicitações precisam seguir as Regras da Comunidade Roblox: {url},,โปรดลองสอบถามฉันในเรื่องอื่น คำขอทั้งหมดต้องเป็นไปตามมาตรฐานชุมชน Roblox: {url},Başka bir şey sormayı dene. İsteklerin Roblox Topluluk Standartları'na uyuyor olması gerekir: {url},Hãy thử đặt cho tôi câu hỏi khác. Tất cả các yêu cầu cần tuân theo Tiêu Chuẩn Cộng Đồng Roblox: {url},请提出其他问题。所有请求必须符合《Roblox 社区准则》：{url},请提出其他问题。所有请求必须符合《Roblox 社区准则》：{url},試著問問看別的事吧。所有的要求都必須符合 Roblox 社群標準：{url}
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.ServersAtMaxCapacity,,,Reached maximum capacity. Please try again later.,Reached maximum capacity. Please try again later.,تم الوصول إلى السعة القصوى. يرجى إعادة المحاولة لاحقاً.,Die maximale Kapazität wurde erreicht. Bitte versuche es später erneut.,Capacidad máxima alcanzada. Inténtalo de nuevo más tarde.,Capacité maximale atteinte. Réessayer plus tard.,"अधिकतम क्षमता पूरी हो गई. कृपया बाद में, फिर से कोशिश करें.",Kapasitas maksimum tercapai. Coba lagi nanti.,Capacità massima raggiunta. Per favore riprova più tardi.,最大容量に達しました。後でもう一度お試しください。,최대 사용량에 도달했습니다. 나중에 다시 시도하세요.,Osiągnięto pojemność maksymalną. Spróbuj ponownie później.,Capacidade máxima atingida. Tente novamente mais tarde.,,ถึงความจุสูงสุดแล้ว โปรดลองอีกครั้งในภายหลัง,Maksimum kapasiteye ulaşıldı. Lütfen daha sonra tekrar dene.,Đã đạt công suất tối đa. Vui lòng thử lại sau.,达到容量上限，请稍后重试。,达到容量上限，请稍后重试。,已達最大數量。請稍後再試。
Studio.StreamingServiceDispatcherRegistry.ErrorMessage.GeneralError,,,Internal server error. Please try again later.,Internal server error. Please try again later.,خطأ داخلي في الخادم. يرجى إعادة المحاولة لاحقاً.,Interner Serverfehler. Bitte versuche es später erneut.,Error interno del servidor. Inténtalo de nuevo más tarde.,Erreur interne du serveur. Réessayer plus tard.,"इंटरनल सर्वर में गड़बड़ी हुई. बाद में, फिर से कोशिश करें.",Eror server internal. Coba lagi nanti.,Errore interno del server. Riprova più tardi.,サーバー内部エラー。後でもう一度お試しください。,내부 서버 오류. 나중에 다시 시도하세요.,Wewnętrzny błąd serwera. Spróbuj ponownie później.,Erro interno do servidor. Tente novamente mais tarde.,,เซิร์ฟเวอร์ภายในเกิดข้อผิดพลาด โปรดลองอีกครั้งในภายหลัง,Dâhilî sunucu hatası. Lütfen daha sonra tekrar dene.,Lỗi máy chủ nội bộ. Vui lòng thử lại sau.,内部服务器错误，请稍后重试。,内部服务器错误，请稍后重试。,內部伺服器錯誤，請稍後再試。
Studio.StreamingServiceDispatcherRegistry.Message.AuthoredBy,,,{asset} by {creator},{asset} by {creator},{asset} بواسطة {creator},{asset} von {creator},{asset} de {creator},{asset} par {creator},{creator} का {asset},{asset} oleh {creator},{asset} da {creator},{asset} の作者： {creator},{creator} 님이 제작한 {asset},"{asset}, twórca: {creator}",{asset} por {creator},,{asset} โดย {creator},{asset} ({creator}),{asset} bởi {creator},{asset}由{creator}创建,{asset}由{creator}创建,{asset}創作者：{creator}
Studio.StreamingServiceDispatcherRegistry.CreateMaterial.Description,,,Creating variants of {baseMaterial} described as '{description}' and has a {materialPattern} pattern.,Creating variants of {baseMaterial} described as '{description}' and has a {materialPattern} pattern.,"إنشاء متغيرات {baseMaterial} الموصوفة باسم ""{description}"" ولها نمط {materialPattern}.","Varianten von {baseMaterial}, die als ""{description}"" beschrieben werden und ein {materialPattern} Muster haben, werden erstellt.",Crear variantes de {baseMaterial} descrito como {description} y con un patrón de {materialPattern}.,Création de variantes {baseMaterial} décrites comme '{description}' et a un motif {materialPattern}.,'{description}' के रूप में वर्णित {baseMaterial} के वेरिएंट क्रिएट कर रहा है और एक {materialPattern} पैटर्न है.,Membuat varian {baseMaterial} yang dideskripsikan dengan '{description}' dan memiliki pola {materialPattern}.,Creare varianti di {baseMaterial} descritto come '{description}' e ha un {materialPattern} modello.,「{description}」として記述されている {materialPattern} の柄がついた {baseMaterial} のバリエーションの作成中。,'{description}'으로 설명되고 {materialPattern} 패턴이 있는 {baseMaterial}의 변형을 생성합니다.,Umożliwia tworzenie wariantów materiału {baseMaterial} opisanych jako „{description}” i ma wzór {materialPattern}.,Criando variantes de {baseMaterial} descrito como '{description}' e tem um {materialPattern} padrão.,,กำลังสร้างตัวแปรของ{baseMaterial}ที่ได้รับคำอธิบายว่าเป็น '{description}' และมีรูปแบบ{materialPattern},"""{description}"" açıklamasına ve {materialPattern} desenine sahip {baseMaterial} çeşitlerinin oluşturulması.","Tạo các biến thể của {baseMaterial} được mô tả là ""{description}"" và có một họa tiết {materialPattern}.",创建描述为“{description}”且具备{materialPattern}纹理的{baseMaterial}。,创建描述为“{description}”且具备{materialPattern}纹理的{baseMaterial}。,建立被描述為「{description}」的 {baseMaterial} 變體，並帶有 {materialPattern} 圖案。
Studio.StreamingServiceDispatcherRegistry.CreateMaterial.FailedToCreateMaterialImprovedError,,,Failed to create the material. Please try again.,Failed to create the material. Please try again.,تعذَّر إنشاء المادة. يرجى إعادة المحاولة.,Fehler beim Erstellen des Materials. Bitte versuche es erneut.,Error al crear el material. Inténtalo de nuevo.,Échec de la création du matériel. Réessayer.,मटीरियल क्रिएट नहीं किया जा सका. कृपया फिर से कोशिश करें.,Gagal membuat material. Coba lagi.,Non è stato possibile creare il materiale. Per favore riprova.,素材を作成できませんでした。もう一度やり直してください。,재질을 생성하지 못했습니다. 다시 시도하세요.,Nie udało się utworzyć materiału. Spróbuj ponownie.,Falha ao criar o material. Tente novamente.,,สร้างวัสดุไม่สำเร็จ โปรดลองอีกครั้ง,Malzeme oluşturulamadı. Lütfen tekrar dene.,Không tạo được vật liệu. Vui lòng thử lại.,创建材质失败，请重试。,创建材质失败，请重试。,建立材質失敗，請稍後再試。
Studio.StreamingServiceDispatcherRegistry.CreateMaterial.FailedToCreateMaterial,,,Failed to create a new material. Error: ,Failed to create a new material. Error: ,تعذَّر إنشاء مادة جديدة. خطأ: ,Fehler beim Erstellen eines neuen Materials. Fehler: ,Error al crear un nuevo material. Error: ,Échec de la création d'un nouveau matériau. Erreur : ,नया मटीरियल क्रिएट नहीं किया जा सका. गड़बड़ी : ,Gagal membuat material baru. Eror: ,Impossibile creare un nuovo materiale. Errore: ,新しい素材を作成できませんでした。エラー: ,새 재질을 생성하지 못했습니다. 오류: ,Nie udało się utworzyć nowego materiału. Błąd: ,Falha ao criar um novo material. Erro: ,,สร้างวัสดุใหม่ไม่สำเร็จ ข้อผิดพลาด: ,Yeni malzeme oluşturulamadı. Hata: ,Không tạo được một vật liệu mới. Lỗi: ,创建新材质失败，错误： ,创建新材质失败，错误： ,建立新材質失敗。錯誤：
Studio.StreamingServiceDispatcherRegistry.RunCode.CodeDropdownClosedTitle,,,Show code,Show code,عرض الكود,Code anzeigen,Mostrar código,Afficher le code,कोड दिखाएँ,Tampilkan kode,Mostra codice,コードを表示,코드 표시,Pokaż kod,Mostrar código,,แสดงโค้ด,Kodu göster,Hiển thị mã,显示代码,显示代码,顯示代碼
Studio.StreamingServiceDispatcherRegistry.RunCode.CodeDropdownOpenedTitle,,,Hide code,Hide code,إخفاء الكود,Code ausblenden,Ocultar código,Masquer le code,कोड छिपाएँ,Sembunyikan kode,Nascondi codice,コードを非表示,코드 숨기기,Ukryj kod,Ocultar código,,ซ่อนโค้ด,Kodu gizle,Ẩn mã,隐藏代码,隐藏代码,隱藏代碼
Studio.StreamingServiceDispatcherRegistry.GenerateMesh.InitialResponse,,,"On it! Generating your model, I will let you know when it is ready.","On it! Generating your model, I will let you know when it is ready.",جارٍ التنفيذ! يتم الآن إنشاء النموذج، وسأخبرك عندما يكون جاهزًا.,"Wird erledigt! Ich erstelle dein Modell und gebe dir Bescheid, wenn es fertig ist.",¡Estoy en eso! Generando tu modelo... Te avisaré cuando esté listo.,C'est parti ! Je te préviendrai lorsque ton modèle sera prêt.,काम चालू है! आपका मॉडल जनरेट किया जा रहा है और तैयार होते ही हम आपको इसकी जानकारी देंगे.,"Siap! Mulai membuat model. Kalau sudah selesai, akan aku beri tahu.",Procedo! Sto generando il tuo modello e ti farò sapere quando è pronto.,了解しました！モデルを生成中です。準備ができたらお知らせします。,알겠습니다! 모델을 생성 중입니다. 준비되면 알려드릴게요.,"Robi się! Trwa generowanie twojego modelu. Dam ci znać, jak będzie gotowy.","OK! Gerando o seu modelo, eu aviso quando estiver pronto.",,ได้เลย! กำลังสร้างโมเดลของคุณ ฉันจะแจ้งให้คุณทราบเมื่อมันพร้อมแล้ว,"Hay hay! Modelin oluşturuluyor, hazır olduğunda sana bildireceğim.",Mô hình của bạn đang được tạo! Tôi sẽ thông báo cho bạn biết khi mô hình đã sẵn sàng.,这就处理！正在生成你的模型，完成后我会马上通知你。,这就处理！正在生成你的模型，完成后我会马上通知你。,馬上處理！正在生成您的模型，完成後我將通知您。
