Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PropertiesLibrary.Tabs.General,,,General,General,,Allgemein,,,सामान्य,Umum,Generale,,일반,Ogólne,,,ทั่วไป,Genel,Chung,,,一般
Studio.PropertiesLibrary.Tabs.AttributesAndTags,,,Attributes & Tags,Attributes & Tags,,Attribute & Markierungen,,,एट्रिब्यूट और टैग,Atribut & Tag,Attributi e tag,,특성 및 태그,Atrybuty i tagi,,,คุณลักษณะและแท็ก,Özellikler ve Etiketler,Thuộc tính & Thẻ,,,屬性和標籤
Studio.PropertiesLibrary.Tabs.All,,,All,All,,Alle,,,सभी,Semua,Tutti,,전체,Wszystko,,,ทั้งหมด,Tümü,Tất cả,,,全部
Studio.PropertiesLibrary.SearchBar.PlaceholderText,,,Filter by name or value,Filter by name or value,,Nach Name oder Wert filtern,,,नाम या वैल्यू के मुताबिक फ़िल्टर करें,Filter menurut nama atau nilai,Filtra per nome o valore,,이름 또는 값으로 필터링,Filtruj według nazwy lub wartości,,,กรองตามชื่อหรือค่า,Ada veya değere göre filtrele,Lọc theo tên hoặc giá trị,,,依名稱或數值篩選
