Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.PropertiesPlugin.Plugin.Button,,,Properties Plugin,Properties Plugin,المكون الإضافي للخصائص,Eigenschaften-Plugin,Plugin de propiedades,Propriétés Plugin,प्रॉपर्टी प्लग-इन,Plugin Properti,Plugin proprietà,プロパティプラグイン,속성 플러그인,Dodatek plug-in Właściwości,Plugin de propriedades,,ปลั๊กอินคุณสมบัติ,Özellik Eklentisi,Plugin thuộc tính,属性插件,属性插件,屬性外掛程式
Studio.PropertiesPlugin.Plugin.Name,,,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin,PropertiesPlugin
Studio.PropertiesPlugin.Plugin.Description,,,A template for all your studio plugin needs!,A template for all your studio plugin needs!,قالب لجميع احتياجاتك من مكونات studio الإضافية!,Eine Vorlage für alle deine Studio-Plugins!,Una plantilla para todos tus plugins de Studio.,Un modèle pour tous tes besoins de plugin Studio !,आपके स्टूडियो प्लग-इन की सभी ज़रूरतों के लिए एक टेम्पलेट!,Satu templat untuk semua kebutuhan plugin studiomu!,Un modello per tutte le tue esigenze di plugin per Studio!,Studioプラグインに関するあらゆるニーズに対応するテンプレート！,필요한 모든 Studio 플러그인을 위해 마련된 템플릿!,"Szablon, który zaspokoi wszystkie twoje potrzeby związane z dodatkami plug-in w Studio!",Um modelo para todas as suas necessidades de plugins do Studio!,,เทมเพลตสำหรับทุกความต้องการของปลั๊กอิน Studio ของคุณ!,Studio'daki tüm eklenti ihtiyaçlarını karşılayacak bir taslak!,Một mẫu dành cho mọi nhu cầu plugin studio của bạn!,满足你所有工作室插件需求的模板！,满足你所有工作室插件需求的模板！,可滿足您所有 Studio 外掛程式需求的範本！
Studio.PropertiesPlugin.BasicExample.Text,,,Capybaras are cute!,Capybaras are cute!,خنزير الماء لطيف!,Capybaras sind süß!,¡Los capibaras son lindos!,Les capybaras sont mignons !,कैपीबरा प्यारे होते हैं!,Capybaras are cute!,I capibara sono carini!,Capybaras are cute!,귀여운 카피바라!,Kapibary są słodkie!,Capivaras são fofas!,,พวกคาปิบาร่าน่ารักจัง!,Kapibaralar çok şirin!,Capybara thật dễ thương!,水豚很可爱！,水豚很可爱！,水豚很可愛！
Studio.PropertiesPlugin.CounterExample.CounterLabel,,,You pressed me {counter} times!,You pressed me {counter} times!,لقد ضغطت علي {counter} مرات!,Du hast mich {counter}-mal gedrückt!,Me presionaste {counter} veces.,Tu m'as pressé {counter} fois !,आपने मुझे {counter} बार दबाया!,You pressed me {counter} times!,Mi hai premuto {counter} volte!,You pressed me {counter} times!,날 {counter}번이나 눌렀군요!,Naciśnięto mnie {counter} razy!,Você me pressionou {counter} vezes!,,คุณกดฉัน {counter} ครั้งแล้ว!,Buraya {counter} kez bastın!,Bạn đã nhấn tôi {counter} lần!,你按了我 {counter} 次！,你按了我 {counter} 次！,您按了我 {counter} 次！
Studio.PropertiesPlugin.CounterExample.Button,,,Push me!,Push me!,ادفعني!,Drück mich!,¡Presióname!,Pousse-moi !,मुझे पुश करें!,Push me!,Premimi!,Push me!,날 밀어요!,Naciśnij mnie!,Me aperte!,,กดฉันสิ!,Buraya bas!,Hãy nhấn tôi!,按我！,按我！,按下我！
Studio.PropertiesPlugin.Plugin.Title,,,Properties,Properties,,Eigenschaften,Propiedades,Propriétés,प्रॉपर्टीज़,Properti,Proprietà,プロパティ,속성,Właściwości,Propriedades,,คุณสมบัติ,Özellikler,Thuộc tính,属性,属性,屬性
