Key,Context,Example,Source,en-us,ar-001,de-de,es-es,fr-fr,hi-in,id-id,it-it,ja-jp,ko-kr,pl-pl,pt-br,ru-ru,th-th,tr-tr,vi-vn,zh-cjv,zh-cn,zh-tw
Studio.CreatorConfig.Plugin.Name,,,Experience Configs,Experience Configs,,Experience-Konfigurationen,Configuraciones de experiencia,Configurations d'expérience,एक्सपीरिएंस के कॉन्फ़िगरेशंस,Konfigurasi Pengalaman Virtual,Configurazioni dell'esperienza,バーチャル空間の設定,체험 설정,Konfiguracja projektu,Configurações da experiência,,การกำหนดค่าประสบการณ์,Deneyim Yapılandırmaları,Cấu hình trải nghiệm,体验配置,体验配置,體驗設定
Studio.CreatorConfig.Plugin.Description,,,Update in-game values in real-time.,Update in-game values in real-time.,,Aktualisiere die Werte im Spiel in Echtzeit.,Actualiza los valores del juego en tiempo real.,Met à jour les valeurs du jeu en temps réel.,रीयल-टाइम में इन-गेम वैल्यू अपडेट करें.,Perbarui nilai dalam game secara real time.,Aggiorna i valori di gioco in tempo reale.,ゲーム内の値をリアルタイムで更新します。,게임 내 값을 실시간으로 업데이트합니다.,Aktualizuj wartości w grze w czasie rzeczywistym.,Atualize os valores do jogo em tempo real.,,อัปเดตค่าในเกมแบบเรียลไทม์,Oyun içi değerleri gerçek zamanlı olarak güncelle.,Cập nhật giá trị trong trò chơi theo thời gian thực.,实时更新游戏内数值。,实时更新游戏内数值。,即時更新遊戲內的數值。
Studio.CreatorConfig.Plugin.Button,,,Configs,Configs,,Konfigurationen,Configuraciones,Configurations,कॉन्फ़िगरेशंस,Konfigurasi,Configurazioni,設定,구성,Konfiguracje,Configurações,,การกำหนดค่า,Yapılandırmalar,Cấu hình,配置,配置,設定
Studio.CreatorConfig.Plugin.Toolbar,,,Configs,Configs,,Konfigurationen,Configuraciones,Configurations,कॉन्फ़िगरेशंस,Konfigurasi,Configurazioni,設定,구성,Konfiguracje,Configurações,,การกำหนดค่า,Yapılandırmalar,Cấu hình,配置,配置,設定
Studio.CreatorConfig.RobloxRibbonMainWindow.OpenConfigs,,,Open Configs,Open Configs,,Konfigurationen öffnen,Abrir configuraciones,Ouvrir les configurations,कॉन्फ़िगरेशंस खोलें,Buka Konfigurasi,Apri configurazioni,設定を開く,구성 열기,Otwórz konfiguracje,Abrir configurações,,เปิดการกำหนดค่า,Yapılandırmaları Aç,Mở cấu hình,打开配置,打开配置,開啟設定
Studio.CreatorConfig.Common.ConfigLoadFailed,,,Failed to load configs,Failed to load configs,,Konfigurationen konnten nicht geladen werden,Error al cargar las configuraciones,Impossible de charger les configurations,कॉन्फ़िगरेशन लोड नहीं हो सके,Gagal me-load konfigurasi,Impossibile caricare le configurazioni,設定を読み込めませんでした,구성 불러오기 실패,Nie udało się wczytać konfiguracji,Falha ao carregar configurações,,โหลดการกำหนดค่าไม่สำเร็จ,Yapılandırmalar yüklenemedi,Không tải được cấu hình,加载配置失败,加载配置失败,無法載入設定
Studio.CreatorConfig.Common.Retry,,,Retry,Retry,,Erneut versuchen,Reintentar,Réessayer,फिर से कोशिश करें,Coba lagi,Riprova,再試行,다시 시도,Spróbuj ponownie,Tentar novamente,,ลองอีกครั้ง,Tekrar dene,Thử lại,重试,重试,重試
