Key,Source,en-us,ko,zh-cn
Studio.DeveloperInspector.Plugin.Name,Developer Inspector,Developer Inspector,개발자 검사기,开发者检查器
Studio.DeveloperInspector.Plugin.Toolbar,Developer Inspector,Developer Inspector,개발자 검사기,开发者检查器
Studio.DeveloperInspector.Plugin.Button,Inspect,Inspect,검사,检查
Studio.DeveloperInspector.Plugin.Description,Opens the Developer Inspector.,Opens the Developer Inspector.,개발자 검사기를 엽니다.,打开开发者检查器。
