Key,Source,en-us
Studio.DeveloperInspector.Plugin.Name,Developer Inspector,Developer Inspector
Studio.DeveloperInspector.Plugin.Toolbar,Developer Inspector,Developer Inspector
Studio.DeveloperInspector.Plugin.Button,Inspect,Inspect
Studio.DeveloperInspector.Plugin.Description,Opens the Developer Inspector.,Opens the Developer Inspector.
