Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,zh-tw
Studio.InternalAvatarTools.Plugin.Name,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools
Studio.InternalAvatarTools.Plugin.Toolbar,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools,InternalAvatarTools
Studio.InternalAvatarTools.Plugin.Export,Export Accessories,Export Accessories,Exportar accesorios,Exporter les accessoires,Esporta accessori,アクセサリをエクスポート,장신구 내보내기,Exportar acessórios,匯出飾品
Studio.InternalAvatarTools.Dialog.Cancel,Cancel,Cancel,Cancelar,Annuler,Annulla,キャンセル,취소,Cancelar,取消
Studio.InternalAvatarTools.Dialog.Export,Export,Export,Exportar,Exporter,Esporta,書き出す,내보내기,Exportar,匯出
Studio.InternalAvatarTools.Plugin.ExportTip,Multi-export the selected Accessories,Multi-export the selected Accessories,Exportación múltiple de accesorios seleccionados,Multi-exporter les accessoires sélectionnés,Multi-esportazione degli accessori selezionati,選択したアクセサリを複数エクスポート,선택한 장신구를 다중 내보내기,Multiexportação dos acessórios selecionados,大量匯出選擇的飾品
Studio.InternalAvatarTools.DialogTitle.ExportNonAccessory,Export selected non accessory?,Export selected non accessory?,¿Exportación seleccionada de elemento que no son accesorio?,Exportation sélectionnée non accessoire ?,Esportare non accessorio selezionato?,アクセサリ以外の選択済みのものをアクスポートしますか？,선택한 비장신구를 내보낼까요?,Exportar não-acessórios selecionados?,匯出選擇的非飾品？
