Key,Source,en-us
Studio.PivotEditor.Notification.InvalidTarget,Object does not have a pivot,Object does not have a pivot
Studio.PivotEditor.Notification.NoSelection,No objects selected,No objects selected
Studio.PivotEditor.Notification.MultipleSelection,Multiple objects selected,Multiple objects selected
