Key,Source,en-us,ko,ru,zh-cn
Studio.PlayerEmulator.Meta.PluginTitle,Player Emulator,Player Emulator,플레이어 에뮬레이터,Эмулятор игрока,玩家模拟器
Studio.PlayerEmulator.MainSwitchSection.LabelText,Enable Test Profile,Enable Test Profile,테스트 프로필 활성화,Включить тестовый профиль,启用测试配置文件
Studio.PlayerEmulator.LanguageSection.LabelText,Locale,Locale,로캘,Местные настройки,区域设置
Studio.PlayerEmulator.LanguageSection.CustomLanguageDisplayText,(Custom),(Custom),(사용자 정의),(Пользовательские),（自定义）
Studio.PlayerEmulator.LanguageSection.InstructionText,Cloud table will fetch translations for %s (%s),Cloud table will fetch translations for %s (%s),클라우드 테이블이 %s(%s)에 대한 번역을 가져옵니다,%s (%s): в облачной таблице будет найден перевод,云表格将提取 %s （%s） 的翻译文档
Studio.PlayerEmulator.CountryRegionSection.LabelText,Region,Region,지역,Район,地区
