Key,Context,Source,en-us
Studio.TestHarness.Plugin.Button,,Toggle,Toggle
Studio.TestHarness.Plugin.Description,,Toggles the Test Harness plugin window.,Toggles the Test Harness plugin window.
Studio.TestHarness.Plugin.Name,,Test Harness,Test Harness
Studio.TestHarness.Plugin.Toolbar,,Test Harness,Test Harness
