Key,Context,Source,en-us
Studio.App.RobloxStudioVerbs.RemoteDebug,,Remote Debug,Remote Debug
Studio.App.DocTabManager.CloseTabsRight,,Close Tabs to the Right,Close Tabs to the Right
Studio.App.DocTabManager.CloseTabsOther,,Close Other Tabs,Close Other Tabs
