Key,Context,Source,en-us
Studio.App.RobloxRibbonMainWindow.ClickOnPartsToLockUnlock,,Click on parts to lock/unlock,Click on parts to lock/unlock
Studio.App.RobloxRibbonMainWindow.ClientsAndServers,,Clients and Servers,Clients and Servers
Studio.App.RobloxRibbonMainWindow.Clipboard,,Clipboard,Clipboard
Studio.App.RobloxRibbonMainWindow.Cobblestone,,Cobblestone,Cobblestone
Studio.App.RobloxRibbonMainWindow.Collaborate,,Collaborate,Collaborate
Studio.App.RobloxRibbonMainWindow.Collaboration,,Collaboration,Collaboration
Studio.App.RobloxRibbonMainWindow.CollapseAllCollapsableSection,,Collapse all collapsable sections of scripts,Collapse all collapsable sections of scripts
Studio.App.RobloxRibbonMainWindow.CollapseAllCollapsableSections,,Collapse all collapsable sections,Collapse all collapsable sections
Studio.App.RobloxRibbonMainWindow.CollapseAllScripts,,Collapse all scripts,Collapse all scripts
Studio.App.RobloxRibbonMainWindow.CollisionGroups,,Collision Groups,Collision Groups
Studio.App.RobloxRibbonMainWindow.Collisions,,Collisions,Collisions
Studio.App.RobloxRibbonMainWindow.Color,,Color,Color
Studio.App.RobloxRibbonMainWindow.ColorActionAsTool,,Color Action as Tool,Color Action as Tool
Studio.App.RobloxRibbonMainWindow.ColorActionAsToolTooltip,,Click object to apply color,Click object to apply color
Studio.App.RobloxRibbonMainWindow.CommentOutTheSelectedText,,Comment out the selected text,Comment out the selected text
Studio.App.RobloxRibbonMainWindow.CompositorDebugger,,Compositor Debugger,Compositor Debugger
Studio.App.RobloxRibbonMainWindow.CompositorDebuggerTooltip,,Connect to an animation compositor graph to see its layers and their properties in real time,Connect to an animation compositor graph to see its layers and their properties in real time
Studio.App.RobloxRibbonMainWindow.ConnectionIsLost,,Server connection lost. Functionality is limited. Attempting to reconnect...,Server connection lost. Functionality is limited. Attempting to reconnect...
Studio.App.RobloxRibbonMainWindow.ConnectionIsStable,,Connection is stable.,Connection is stable.
Studio.App.RobloxRibbonMainWindow.ConnectionIsUnstable,,Connection is unstable. Changes may not be saved.,Connection is unstable. Changes may not be saved.
Studio.App.RobloxRibbonMainWindow.ConstraintDetails,,Constraint Details,Constraint Details
Studio.App.RobloxRibbonMainWindow.ConstraintGizmoScale,,Constraint widget scale (Alt+Scroll Wheel),Constraint widget scale (Alt+Scroll Wheel)
Studio.App.RobloxRibbonMainWindow.ConstraintWidgetScale,,Constraint widget scale (Alt+Scroll Wheel),Constraint widget scale (Alt+Scroll Wheel)
Studio.App.RobloxRibbonMainWindow.Constraints,,Constraints,Constraints
Studio.App.RobloxRibbonMainWindow.ContainerLayoutTooltip,,A container object used to layout other GUI objects,A container object used to layout other GUI objects
Studio.App.RobloxRibbonMainWindow.ControlsEmulatorToggle,,Emulate Device Controllers,Emulate Device Controllers
Studio.App.RobloxRibbonMainWindow.ControlsEmulatorToggleAlias,,Emulate Device Controllers,Emulate Device Controllers
Studio.App.RobloxRibbonMainWindow.CopySelectedText,,Copy selected text,Copy selected text
Studio.App.RobloxRibbonMainWindow.CoreGuiObject,,The core GUI object on which tools are built.  Add Frames/Labels/Buttons to this object to have them rendered as a 2D overlay,The core GUI object on which tools are built.  Add Frames/Labels/Buttons to this object to have them rendered as a 2D overlay
Studio.App.RobloxRibbonMainWindow.CorrodedMetal,,Corroded Metal,Corroded Metal
Studio.App.RobloxRibbonMainWindow.CreateAccessory,,Create Accessory,Create Accessory
Studio.App.RobloxRibbonMainWindow.CreateAccessoryTooltip,,Select one or multiple Models to convert into accessories,Select one or multiple Models to convert into accessories
Studio.App.RobloxRibbonMainWindow.CreateAlignOrientation,,Create align orientation,Create align orientation
Studio.App.RobloxRibbonMainWindow.CreateAlignPosition,,Create align position,Create align position
Studio.App.RobloxRibbonMainWindow.CreateAnimationConstraint,,Create animation constraint,Create animation constraint
Studio.App.RobloxRibbonMainWindow.CreateBallInSocket,,Create ball in socket,Create ball in socket
Studio.App.RobloxRibbonMainWindow.CreateBallOnAxis,,Create ball on axis,Create ball on axis
Studio.App.RobloxRibbonMainWindow.CreateBeamToolTip,,Create beam,Create beam
Studio.App.RobloxRibbonMainWindow.CreateCylindricalConstraint,,Create cylindrical constraint,Create cylindrical constraint
Studio.App.RobloxRibbonMainWindow.CreateExplosionToolTip,,Create explosion,Create explosion
Studio.App.RobloxRibbonMainWindow.CreateFireToolTip,,Create fire,Create fire
Studio.App.RobloxRibbonMainWindow.CreateHinge,,Create hinge,Create hinge
Studio.App.RobloxRibbonMainWindow.CreateLineForce,,Create line force,Create line force
Studio.App.RobloxRibbonMainWindow.CreateLinearVelocityConstraint,,Create linear velocity constraint,Create linear velocity constraint
Studio.App.RobloxRibbonMainWindow.CreateParticleEmitterToolTip,,Create particle emitter,Create particle emitter
Studio.App.RobloxRibbonMainWindow.CreatePlaneConstraint,,Create plane constraint,Create plane constraint
Studio.App.RobloxRibbonMainWindow.CreatePointLightToolTip,,Create point light,Create point light
Studio.App.RobloxRibbonMainWindow.CreatePrismaticConstraint,,Create prismatic constraint,Create prismatic constraint
Studio.App.RobloxRibbonMainWindow.CreateRigidConstraint,,Create rigid constraint,Create rigid constraint
Studio.App.RobloxRibbonMainWindow.CreateRodConstraint,,Create rod constraint,Create rod constraint
Studio.App.RobloxRibbonMainWindow.CreateRopeConstraint,,Create rope constraint,Create rope constraint
Studio.App.RobloxRibbonMainWindow.CreateSmokeToolTip,,Create smoke,Create smoke
Studio.App.RobloxRibbonMainWindow.CreateSparklesToolTip,,Create sparkles,Create sparkles
Studio.App.RobloxRibbonMainWindow.CreateSpotLightToolTip,,Create spot light,Create spot light
Studio.App.RobloxRibbonMainWindow.CreateSpringConstraint,,Create spring constraint,Create spring constraint
Studio.App.RobloxRibbonMainWindow.CreateSurfaceLightToolTip,,Create surface light,Create surface light
Studio.App.RobloxRibbonMainWindow.CreateTorque,,Create torque,Create torque
Studio.App.RobloxRibbonMainWindow.CreateTorsionSpringConstraint,,Create torsion spring constraint,Create torsion spring constraint
Studio.App.RobloxRibbonMainWindow.CreateTrailToolTip,,Create trail,Create trail
Studio.App.RobloxRibbonMainWindow.CreateUniversalConstraint,,Create universal constraint,Create universal constraint
Studio.App.RobloxRibbonMainWindow.CreateVectorForce,,Create vector force,Create vector force
Studio.App.RobloxRibbonMainWindow.CreateWeldConstraint,,Create weld constraint,Create weld constraint
Studio.App.RobloxRibbonMainWindow.CurrentClient,,Current: Client,Current: Client
Studio.App.RobloxRibbonMainWindow.CurrentServer,,Current: Server,Current: Server
Studio.App.RobloxRibbonMainWindow.CustomizeQuickAccessBar,,Customize Quick Access Bar,Customize Quick Access Bar
Studio.App.RobloxRibbonMainWindow.CutSelectedText,,Cut selected text,Cut selected text
Studio.App.RobloxRibbonMainWindow.Cylindrical,,Cylindrical,Cylindrical
Studio.App.RobloxRibbonMainWindow.DEPRECATEDBoundingBoxesTooltip,,Toggles visibility of bounding boxes for the selection,Toggles visibility of bounding boxes for the selection
Studio.App.RobloxRibbonMainWindow.DEPRECATEDSelectionImprovementsTooltipDescription,,"Default selection and hover now renders geometric outlines instead of bounding boxes, but you can still toggle bounding boxes on/off with this button. Learn more below.","Default selection and hover now renders geometric outlines instead of bounding boxes, but you can still toggle bounding boxes on/off with this button. Learn more below."
Studio.App.RobloxRibbonMainWindow.DebugErrors,,Debug Errors,Debug Errors
Studio.App.RobloxRibbonMainWindow.DeviceControllerToggle,,Controller,Controller
Studio.App.RobloxRibbonMainWindow.DeviceEmulator,,Device,Device
Studio.App.RobloxRibbonMainWindow.DiamondPlate,,Diamond Plate,Diamond Plate
Studio.App.RobloxRibbonMainWindow.DiffMenu,,Diff Menu,Diff Menu
Studio.App.RobloxRibbonMainWindow.DisplayAxis,,Display Axis,Display Axis
Studio.App.RobloxRibbonMainWindow.DisplayGridMaterialOnParts,,Display grid material on Parts,Display grid material on Parts
Studio.App.RobloxRibbonMainWindow.DocHistoryBackwards,,Step backwards through tab history,Step backwards through tab history
Studio.App.RobloxRibbonMainWindow.DocHistoryForwards,,Step forwards through tab history,Step forwards through tab history
Studio.App.RobloxRibbonMainWindow.DrawConstraintsAttWeldsTop,,"Draw constraints, attachments and welds on top","Draw constraints, attachments and welds on top"
Studio.App.RobloxRibbonMainWindow.DrawOnTop,,Draw On Top,Draw On Top
Studio.App.RobloxRibbonMainWindow.EditCollisionGroups,,Edit collision groups,Edit collision groups
Studio.App.RobloxRibbonMainWindow.EditPivot,,Edit Pivot,Edit Pivot
Studio.App.RobloxRibbonMainWindow.EditPivotTooltip,,Edit the point around which the selected object rotates and translates,Edit the point around which the selected object rotates and translates
Studio.App.RobloxRibbonMainWindow.Effects,,Effects,Effects
Studio.App.RobloxRibbonMainWindow.Emulation,,Emulation,Emulation
Studio.App.RobloxRibbonMainWindow.Emulator,,Emulator,Emulator
Studio.App.RobloxRibbonMainWindow.EnableUIVisibility,,Toggles visibility of UI in the 3D View,Toggles visibility of UI in the 3D View
Studio.App.RobloxRibbonMainWindow.EnableWireframeRendering,,Enable Wireframe Rendering,Enable Wireframe Rendering
Studio.App.RobloxRibbonMainWindow.ExecuteLuaCodeFromAFile,,Execute Lua code from a file,Execute Lua code from a file
Studio.App.RobloxRibbonMainWindow.ExitGame,,Exit Game,Exit Game
Studio.App.RobloxRibbonMainWindow.ExitTeamTest,,Exit Team Test,Exit Team Test
Studio.App.RobloxRibbonMainWindow.ExpandAllCollapsedFolds,,Expand all collapsed folds in the script,Expand all collapsed folds in the script
Studio.App.RobloxRibbonMainWindow.ExpandAllScripts,,Expand all scripts,Expand all scripts
Studio.App.RobloxRibbonMainWindow.Explosion,Name of the action to insert explosion VFX into the workspace,Explosion,Explosion
Studio.App.RobloxRibbonMainWindow.FindTextAndReplaceWithElps,,Find text and replace with...,Find text and replace with...
Studio.App.RobloxRibbonMainWindow.FindTextElps,,Find text...,Find text...
Studio.App.RobloxRibbonMainWindow.Fire,Name of the action to insert Fire VFX into the workspace,Fire,Fire
Studio.App.RobloxRibbonMainWindow.FocusViewOnScriptError,,Focus view on script error,Focus view on script error
Studio.App.RobloxRibbonMainWindow.Frame,,Frame,Frame
Studio.App.RobloxRibbonMainWindow.FusePartsTogether,,Fuse parts together to make a single part,Fuse parts together to make a single part
Studio.App.RobloxRibbonMainWindow.Fwd,,Fwd,Fwd
Studio.App.RobloxRibbonMainWindow.GameSettings,,Game Settings,Game Settings
Studio.App.RobloxRibbonMainWindow.Gameplay,,Gameplay,Gameplay
Studio.App.RobloxRibbonMainWindow.GeometryTab,,Geometry,Geometry
Studio.App.RobloxRibbonMainWindow.GlobalWindControl,,Wind Direction,Wind Direction
Studio.App.RobloxRibbonMainWindow.GlobalWindControlTooltip,,Show Wind Direction,Show Wind Direction
Studio.App.RobloxRibbonMainWindow.Glue,,Glue,Glue
Studio.App.RobloxRibbonMainWindow.GoToNextChange,,Go to next change,Go to next change
Studio.App.RobloxRibbonMainWindow.GoToPreviousChange,,Go to previous change,Go to previous change
Studio.App.RobloxRibbonMainWindow.GridOnYPlane,,Display a 3D grid on the y=0 plane,Display a 3D grid on the y=0 plane
Studio.App.RobloxRibbonMainWindow.GroupsPartsIntoFolder,,Group the selected Instances into a new Folder,Group the selected Instances into a new Folder
Studio.App.RobloxRibbonMainWindow.GroupsPartsIntoModel,,Group the selected parts into a new Model,Group the selected parts into a new Model
Studio.App.RobloxRibbonMainWindow.HideDetails,,Hide Details,Hide Details
Studio.App.RobloxRibbonMainWindow.Hinge,,Hinge,Hinge
Studio.App.RobloxRibbonMainWindow.ImageButton,,Image Button,Image Button
Studio.App.RobloxRibbonMainWindow.ImageLabel,,Image Label,Image Label
Studio.App.RobloxRibbonMainWindow.Import3D,,Import 3D,Import 3D
Studio.App.RobloxRibbonMainWindow.Inlets,,Inlets,Inlets
Studio.App.RobloxRibbonMainWindow.Insert,,Insert,Insert
Studio.App.RobloxRibbonMainWindow.InsertALocalScript,,Insert a local script,Insert a local script
Studio.App.RobloxRibbonMainWindow.InsertAModelFromLocalFiles,,Insert a model from local files,Insert a model from local files
Studio.App.RobloxRibbonMainWindow.InsertAModuleScript,,Insert a module script,Insert a module script
Studio.App.RobloxRibbonMainWindow.InsertAScript,,Insert a script,Insert a script
Studio.App.RobloxRibbonMainWindow.InsertAttachment,,Insert attachment,Insert attachment
Studio.App.RobloxRibbonMainWindow.InsertBlockPart,,Insert block part,Insert block part
Studio.App.RobloxRibbonMainWindow.InsertBone,"Tooltip for button that creates a bone, a specialized form of attachments, used exclusively for animation rigs",Insert bone,Insert bone
Studio.App.RobloxRibbonMainWindow.InsertCornerWedge,,Insert CornerWedgePart,Insert CornerWedgePart
Studio.App.RobloxRibbonMainWindow.InsertCylinderPart,,Insert cylinder part,Insert cylinder part
Studio.App.RobloxRibbonMainWindow.InsertFromServiceSelection,,Insert service from a service selection,Insert service from a service selection
Studio.App.RobloxRibbonMainWindow.InsertItemsFromTheToolbox,,Insert items from the toolbox,Insert items from the toolbox
Studio.App.RobloxRibbonMainWindow.InsertObjectToolTip,,View list of insertable objects,View list of insertable objects
Studio.App.RobloxRibbonMainWindow.InsertScriptsAndOtherAdvance,,Insert scripts and other advanced objects into the game,Insert scripts and other advanced objects into the game
Studio.App.RobloxRibbonMainWindow.InsertSpherePart,,Insert sphere part,Insert sphere part
Studio.App.RobloxRibbonMainWindow.InsertWedgePart,,Insert wedge part,Insert wedge part
Studio.App.RobloxRibbonMainWindow.InternalBetaFeatures,,Roblox Internal - Beta,Roblox Internal - Beta
Studio.App.RobloxRibbonMainWindow.InternalFeatures,,Roblox Internal,Roblox Internal
Studio.App.RobloxRibbonMainWindow.InternalFeaturesAreEnabled,,Internal Features are enabled,Internal Features are enabled
