Key,Context,Source,en-us
Studio.PlaceVersionHistory.Error.VersionNotesFailedToSave,This message is displayed to the user when their place version notes are not saved due to an internal error.,Failed to save your place version notes. Please try again.,Failed to save your place version notes. Please try again.
Studio.PlaceVersionHistory.Label.PlaceVersionHistory,A title label for the feature,Place Version History,Place Version History
Studio.PlaceVersionHistory.Label.VersionHistory,A title label for the feature,Version History,Version History
Studio.PlaceVersionHistory.VersionHistory,A title label for the feature,Version History,Version History
