Key,Context,Source,en-us
Studio.App.EmulatorMainWidget.ScreenOrientation,,ScreenOrientation,ScreenOrientation
Studio.App.EmulatorMainWidget.Sensor,,Sensor,Sensor
Studio.App.EmulatorMainWidget.ShowControllerWidgetCheckBox,,Virtual Controller,Virtual Controller
Studio.App.EmulatorMainWidget.ShowControllerWidgetCheckBoxToolTip,,Show / Hide Virtual Controller,Show / Hide Virtual Controller
Studio.App.EmulatorMainWidget.StandardDevicesSectionName,,Standard Devices,Standard Devices
Studio.App.EmulatorMainWidget.StarterGui,,StarterGui,StarterGui
Studio.App.EmulatorMainWidget.StarterGuiEnabledModeMessage3,,"To enable it, stop the experience if running, and set the %1 setting of %2 to one of the following: %3","To enable it, stop the experience if running, and set the %1 setting of %2 to one of the following: %3"
Studio.App.EmulatorMainWidget.StarterGuiModeNotEnabledMessage1,,%1 mode is not enabled for your game.,%1 mode is not enabled for your game.
Studio.App.EmulatorMainWidget.SteamOS,,SteamOS,SteamOS
Studio.App.EmulatorMainWidget.TabletSectionName,,Tablet,Tablet
Studio.App.EmulatorMainWidget.UWP,,UWP,UWP
Studio.App.EmulatorMainWidget.UnknownDevice,Emulation devices,Unknown Device,Unknown Device
Studio.App.EmulatorMainWidget.UnkownDevice,Emulation devices,Unknown Device,Unknown Device
Studio.App.EmulatorMainWidget.VGA,Emulation devices,VGA,VGA
Studio.App.EmulatorMainWidget.VrSectionName,,VR,VR
Studio.App.EmulatorMainWidget.WebOS,,WebOS,WebOS
Studio.App.EmulatorMainWidget.WiiU,,WiiU,WiiU
Studio.App.EmulatorMainWidget.Windows,,Windows,Windows
Studio.App.EmulatorMainWidget.XBox360,,XBox360,XBox360
Studio.App.EmulatorMainWidget.XBoxOne,,XBoxOne,XBoxOne
Studio.App.EmulatorMainWidget.Xbox,Emulation devices,Xbox One,Xbox One
Studio.App.EmulatorMainWidget.XiaomiRedmiNote9,Emulation devices,Xiaomi Redmi Note 9,Xiaomi Redmi Note 9
Studio.App.EmulatorMainWidget.iOS,,iOS,iOS
Studio.App.EmulatorMainWidget.iPodTouch6thGeneration,Emulation devices,iPod Touch 6th Generation,iPod Touch 6th Generation
