Key,Context,Source,en-us
Studio.RobloxPropertiesWidget.Category.Jaw,,Jaw,Jaw
Studio.RobloxPropertiesWidget.Category.JobInfo,,JobInfo,JobInfo
Studio.RobloxPropertiesWidget.Category.JumpSettings,,Jump Settings,Jump Settings
Studio.RobloxPropertiesWidget.Category.Limits,,Limits,Limits
Studio.RobloxPropertiesWidget.Category.Line,,Line,Line
Studio.RobloxPropertiesWidget.Category.LineForce,,LineForce,LineForce
Studio.RobloxPropertiesWidget.Category.Link,,Link,Link
Studio.RobloxPropertiesWidget.Category.Listening,,Listening,Listening
Studio.RobloxPropertiesWidget.Category.Localization,,Localization,Localization
Studio.RobloxPropertiesWidget.Category.LuaDebugger,,Lua Debugger,Lua Debugger
Studio.RobloxPropertiesWidget.Category.Mapping,Category Mapping,Mapping,Mapping
Studio.RobloxPropertiesWidget.Category.Material,,Material,Material
Studio.RobloxPropertiesWidget.Category.MaterialOverrides,,Material Overrides,Material Overrides
Studio.RobloxPropertiesWidget.Category.MaterialPack,,Material Pack,Material Pack
Studio.RobloxPropertiesWidget.Category.Metering,,Metering,Metering
Studio.RobloxPropertiesWidget.Category.Mobile,,Mobile,Mobile
Studio.RobloxPropertiesWidget.Category.Mode,,Mode,Mode
Studio.RobloxPropertiesWidget.Category.ModeSwitching,DragDetector mode switching property section,Mode Switching,Mode Switching
Studio.RobloxPropertiesWidget.Category.Motion,,Motion,Motion
Studio.RobloxPropertiesWidget.Category.Motor,,Motor,Motor
Studio.RobloxPropertiesWidget.Category.Mouth,,Mouth,Mouth
Studio.RobloxPropertiesWidget.Category.Movement,,Movement,Movement
Studio.RobloxPropertiesWidget.Category.Networking,,Networking,Networking
Studio.RobloxPropertiesWidget.Category.Orientation,,Orientation,Orientation
Studio.RobloxPropertiesWidget.Category.Output,,Output,Output
Studio.RobloxPropertiesWidget.Category.Part,,Part,Part
Studio.RobloxPropertiesWidget.Category.Particles,,Particles,Particles
Studio.RobloxPropertiesWidget.Category.Parts,,Parts,Parts
Studio.RobloxPropertiesWidget.Category.Performance,,Performance,Performance
Studio.RobloxPropertiesWidget.Category.Permissions,,Permissions,Permissions
Studio.RobloxPropertiesWidget.Category.Physics,,Physics,Physics
Studio.RobloxPropertiesWidget.Category.PhysicsResponse,,Physics Response,Physics Response
Studio.RobloxPropertiesWidget.Category.Pivot,,Pivot,Pivot
Studio.RobloxPropertiesWidget.Category.Plane,,Plane,Plane
Studio.RobloxPropertiesWidget.Category.Playback,,Playback,Playback
Studio.RobloxPropertiesWidget.Category.PrimaryPart,,Primary Part,Primary Part
Studio.RobloxPropertiesWidget.Category.Profile,,Profile,Profile
Studio.RobloxPropertiesWidget.Category.ProxySettings,,Proxy Settings,Proxy Settings
Studio.RobloxPropertiesWidget.Category.PseudoInstances,,PseudoInstances,PseudoInstances
Studio.RobloxPropertiesWidget.Category.Range,Category Range,Range,Range
Studio.RobloxPropertiesWidget.Category.Recording,,Recording,Recording
Studio.RobloxPropertiesWidget.Category.Reflection,,Reflection,Reflection
Studio.RobloxPropertiesWidget.Category.Regions,,Regions,Regions
Studio.RobloxPropertiesWidget.Category.RenderingTest,,RenderingTest,RenderingTest
Studio.RobloxPropertiesWidget.Category.Results,,Results,Results
Studio.RobloxPropertiesWidget.Category.Rod,,Rod,Rod
Studio.RobloxPropertiesWidget.Category.Rope,,Rope,Rope
Studio.RobloxPropertiesWidget.Category.Routing,,Routing,Routing
Studio.RobloxPropertiesWidget.Category.Scale,,Scale,Scale
Studio.RobloxPropertiesWidget.Category.ScriptEditor,,Script Editor,Script Editor
Studio.RobloxPropertiesWidget.Category.ScriptEditorColors,,Script Editor Colors,Script Editor Colors
Studio.RobloxPropertiesWidget.Category.Scripting,,Scripting,Scripting
Studio.RobloxPropertiesWidget.Category.Scrolling,,Scrolling,Scrolling
Studio.RobloxPropertiesWidget.Category.Selection,,Selection,Selection
Studio.RobloxPropertiesWidget.Category.ServerAuthority,The category header for Server Authority,Server Authority,Server Authority
Studio.RobloxPropertiesWidget.Category.Servo,,Servo,Servo
Studio.RobloxPropertiesWidget.Category.Settings,,Settings,Settings
Studio.RobloxPropertiesWidget.Category.Shape,,Shape,Shape
Studio.RobloxPropertiesWidget.Category.Simulation,,Simulation,Simulation
Studio.RobloxPropertiesWidget.Category.Size,Category Size,Size,Size
Studio.RobloxPropertiesWidget.Category.Sizing,,Sizing,Sizing
Studio.RobloxPropertiesWidget.Category.Slider,,Slider,Slider
Studio.RobloxPropertiesWidget.Category.Spring,,Spring,Spring
Studio.RobloxPropertiesWidget.Category.State,,State,State
Studio.RobloxPropertiesWidget.Category.StateEditing,,State Editing,State Editing
Studio.RobloxPropertiesWidget.Category.Streaming,,Streaming,Streaming
Studio.RobloxPropertiesWidget.Category.Surface,,Surface,Surface
Studio.RobloxPropertiesWidget.Category.SurfaceInputs,,Surface Inputs,Surface Inputs
Studio.RobloxPropertiesWidget.Category.Tags,,Tags,Tags
Studio.RobloxPropertiesWidget.Category.TargetOrientation,,TargetOrientation,TargetOrientation
Studio.RobloxPropertiesWidget.Category.Team,,Team,Team
