Key,Context,Example,Source,en-us
Studio.PropertiesWidget.Title.Properties,RobloxPropertiesWidget,,Properties - %1,Properties - %1
Studio.StartPage.Sidebar.MyGames,StartPage,,My Games,My Games
Studio.StartPage.Sidebar.New,RBXMainWindow,,New,New
Studio.StartPage.Sidebar.Recent,StartPage,,Recent,Recent
Studio.UIEditor.Button.ScrollingFrame,RobloxRibbonMainWindow,,Scrolling Frame,Scrolling Frame
Studio.UIEditor.Button.TextButton,RobloxRibbonMainWindow,,Text Button,Text Button
Studio.UIEditor.Button.TextLabel,RobloxRibbonMainWindow,,Text Label,Text Label
