Key,Source,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br,zh-cjv,zh-cn,zh-tw
Studio.DraggerFramework.SummonPivot.SummonText,Summon Handles,Summon Handles,Invocar controladores,Appeler les contrôleurs,ハンドル召喚,핸들 소환,Invocar alças,召唤拉杆,召唤拉杆,召喚手把
Studio.DraggerFramework.SummonPivot.TabText,Hold Tab,Hold Tab,Mantener Pestaña,Maintenir l'onglet,タブの長押し,탭 길게 누르기,Segurar aba,按住 Tab,按住 Tab,儲藏標籤
