Key,Source,en-us
Studio.LocalizationTools.UploadTable.KeyTooLong,"Key for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Key for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit"
Studio.LocalizationTools.UploadTable.ExampleTooLong,"Example for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit","Example for entry (key: {key}, example: {example}, source: {source}, context: {context}) exceeds character limit"
Studio.LocalizationTools.UploadTable.InvalidEntryDialogError,An invalid entry has been found in your CSV file. More details can be found in Output,An invalid entry has been found in your CSV file. More details can be found in Output
Studio.LocalizationTools.UploadTable.EmptyCSVDialogTitle,Empty CSV Table,Empty CSV Table
Studio.LocalizationTools.MessageFrame.DownloadFailedMessage,Download cloud table failed,Download cloud table failed
Studio.LocalizationTools.MessageFrame.SelectCSVFileMessage,Select CSV file...,Select CSV file...
Studio.LocalizationTools.MessageFrame.ComputingPatchMessage,Computing patch...,Computing patch...
Studio.LocalizationTools.MessageFrame.UploadCanceledMessage,Upload canceled,Upload canceled
Studio.LocalizationTools.MessageFrame.UploadingPatchMessage,Uploading patch...,Uploading patch...
Studio.LocalizationTools.MessageFrame.TableWrittenToFileMessage,Table written to file,Table written to file
Studio.LocalizationTools.DownloadTable.GetCloudTableFailed,Localization Tools failed to request cloud table.,Localization Tools failed to request cloud table.
Studio.LocalizationTools.DownloadTable.SetEntriesFailed,Internal error.,Internal error.
Studio.LocalizationTools.DownloadTable.SetEntriesFailedWithErrorMessage,Cloud table contains invalid entries.,Cloud table contains invalid entries.
Studio.LocalizationTools.UploadTable.GetGameSourceLanguageFailed,Localization Tools failed to request game source langauge.,Localization Tools failed to request game source langauge.
Studio.LocalizationTools.UploadTable.GetSupportedLanguagesFailedMessage,Localization Tools failed to request supported langauges.,Localization Tools failed to request supported langauges.
Studio.LocalizationTools.UploadTable.PatchSupportedLangugesFailed,Localization Tools failed to add supported langauges.,Localization Tools failed to add supported langauges.
Studio.LocalizationTools.UploadTable.PatchCloudTableFailed,Localization Tools failed to upload cloud table.,Localization Tools failed to upload cloud table.
Studio.LocalizationTools.MessageFrame.DownloadingTableMessage,Downloading table...,Downloading table...
Studio.LocalizationTools.PluginMetadata.GetOrCreateCloudTableFailedMessage,Localization Tools failed to get cloud table info.,Localization Tools failed to get cloud table info.
Studio.LocalizationTools.PluginMetadata.GetPermissionFailedMessage,Localization Tools failed to get permission info.,Localization Tools failed to get permission info.
Studio.LocalizationTools.PluginMetadata.GetAllLocalesFailed,Localization Tools failed to get all languages info.,Localization Tools failed to get all languages info.
Studio.LocalizationTools.ImageLocalizationSection.SectionLabel,Image Localization,Image Localization
Studio.LocalizationTools.ImageLocalizationSection.UploadButton,Upload Image IDs,Upload Image IDs
Studio.LocalizationTools.ImageLocalizationSection.UploadButtonLabel,Upload Image Asset IDs,Upload Image Asset IDs
Studio.LocalizationTools.EngineErrors.MissingKeyOrSource,Error reading {1}: Missing a Key or Source header column.,Error reading {1}: Missing a Key or Source header column.
Studio.LocalizationTools.EngineErrors.NonUtf8,Error opening CSV {1}: Invalid UTF-8. File must be UTF-8 encoded.,Error opening CSV {1}: Invalid UTF-8. File must be UTF-8 encoded.
