Key,en-us
Studio.TestHarness.Plugin.Button,Toggle
Studio.TestHarness.Plugin.Description,Toggles the Test Harness plugin window.
Studio.TestHarness.Plugin.Name,Test Harness
Studio.TestHarness.Plugin.Toolbar,Test Harness
