Key,Source,en-us,es-es,fr-fr,it-it,ja-jp,ko-kr,pt-br,ru-ru,zh-cjv,zh-cn,zh-tw
Studio.PluginInstallation.Progress.NotOwned,You do not own this plugin. {1},You do not own this plugin. {1},No tienes este plugin. {1},Tu n'as pas ce plugin. {1},Non possiedi questo plugin. {1},このプラグインを所有していません。 {1},이 플러그인을 소유하고 있지 않습니다. {1},Você não possui este plugin. {1},Вы не владеете этим плагином. {1},你尚未拥有当前插件。{1},你尚未拥有当前插件。{1},您不擁有此外掛程式。{1}
Studio.PluginInstallation.Progress.Unavailable,Could not fetch information about this plugin. Try again later. {1},Could not fetch information about this plugin. Try again later. {1},No se ha podido recuperar la información sobre este plugin. Inténtalo de nuevo más tarde. {1},Impossible d'aller chercher les informations de ce plugin. Réessaie plus tard. {1},Impossibile recuperare le informazioni su questo plugin. Riprova più tardi. {1},このプラグインに関する情報を取得できませんでした。また後でお試しください。 {1},이 플러그인에 대한 정보를 가져오지 못했습니다. 나중에 다시 시도하세요. {1},Não foi possível obter informações sobre este plugin. Tente novamente mais tarde. {1},Не удалось получить информацию о плагине. Повторите попытку позже. {1},无法获取关于此插件的信息，请稍后重试。{1},无法获取关于此插件的信息，请稍后重试。{1},無法擷取此外掛程式的資訊，請稍後再試。{1}
Studio.PluginInstallation.Progress.NotInstalled,Plugin Installation Failed. Please try again. {1},Plugin Installation Failed. Please try again. {1},Error en la instalación del plugin. Inténtalo de nuevo más tarde. {1},Echec de l'installation plugin. Réessaie plus tard. {1},Impossibile installare il plugin. Riprova. {1},プラグインのインストールができませんでした。もう一度お試しください。 {1},플러그인을 설치하지 못했습니다. 나중에 다시 시도하세요. {1},Falha na instalação do plugin. Tente novamente. {1},Неудачная установка плагина. Повторите попытку позже. {1},插件安装失败，请稍后重试。{1},插件安装失败，请稍后重试。{1},外掛程式安裝失敗，請重新嘗試。{1}
Studio.PluginInstallation.Details.Creator,Creator,Creator,Creador,Créateur,Creatore,クリエーター,크리에이터,Criador,Автор,创建者,创建者,創作者
Studio.PluginInstallation.Loading.UpdatingMessage,Updating plugins...,Updating plugins...,Actualizando plugins...,Mise à jour des plugins...,Aggiornamento plugin...,プラグインをアップデート中...,플러그인 업데이트 중...,Atualizando plugins...,Обновляются плагины...,正在更新插件…,正在更新插件…,正在更新外掛程式……
Studio.PluginInstallation.Progress.AlreadyInstalled,This plugin is already installed. {1},This plugin is already installed. {1},El plugin ya está instalado. {1},Ce plugin est déjà installé. {1},Questo plugin è già installato. {1},このプラグインはすでにインストール済みです。 {1},이 플러그인은 이미 설치되어 있습니다. {1},Este plugin já está instalado. {1},Этот плагин уже установлен. {1},此插件已经安装完毕。{1},此插件已经安装完毕。{1},此外掛程式已安裝。{1}
Studio.PluginInstallation.Manage.WindowTitle,Plugin Management,Plugin Management,Administrador de plugin,Gestion des plugins,Gestione plugin,プラグイン管理,플러그인 관리,Gerenciador de plugins,Управление плагинами,插件管理,插件管理,外掛程式管理
Studio.PluginInstallation.Toolbar.ToolbarTitle,Tools,Tools,Herramientas,Outils,Strumenti,ツール,도구,Ferramentas,Инструменты,工具,工具,工具
Studio.PluginInstallation.Moved.GotIt,Got it,Got it,¡Entendido!,J'ai trouvé,Capito,了解,확인,Entendi,Ясно,了解,了解,知道了
Studio.PluginInstallation.Toolbar.ManageButtonTitle,Manage Plugins,Manage Plugins,Gestionar plugins,Gérer les plugins,Gestisci plugin,プラグインを管理,플러그인 관리,Gerenciar plugins,Управление плагинами,管理插件,管理插件,管理外掛程式
