Key,Source,en-us,es-es,ko-kr,pt-br,zh-tw
Studio.DraggerFramework.SummonPivot.SummonText,Summon Handles,Summon Handles,Invocar controladores,핸들 소환,Invocar alças,召喚手把
Studio.DraggerFramework.SummonPivot.TabText,Hold Tab,Hold Tab,Mantener Pestaña,탭 길게 누르기,Segurar aba,儲藏標籤
