Key,Source,de-de,en-us,es-es,fr-fr,ja-jp,ko-kr,pt-br
Studio.MaterialGenerator.Editor.SaveAndApplyVariant,Save & Apply Variant,Variante speichern & anwenden,Save & Apply Variant,Guardar y aplicar variante,Enregistrer et appliquer la variante,バリエーションの保存と適用,변형 저장 및 적용,Salvar e aplicar variante
Studio.MaterialGenerator.MaterialView.SaveAndApplyVariant,Save & Apply Variant,Variante speichern & anwenden,Save & Apply Variant,Guardar y aplicar variante,Enregistrer et appliquer la variante,バリエーションの保存と適用,변형 저장 및 적용,Salvar e aplicar variante
Studio.MaterialGenerator.Errors.FailedToGenerateMaps,Generation error. Please try again.,Generierungsfehler. Bitte versuche es erneut.,Generation error. Please try again.,Error de generación. Inténtalo de nuevo.,"Erreur de génération, réessayer.",生成エラーです。後でまたお試しください。,생성 오류. 다시 시도하세요.,"Erro de geração, tente novamente."
Studio.MaterialGenerator.Errors.NoSession,Generation error. Please try again.,Generierungsfehler. Bitte versuche es erneut.,Generation error. Please try again.,Error de generación. Inténtalo de nuevo.,"Erreur de génération, réessayer.",生成エラーです。後でまたお試しください。,생성 오류. 다시 시도하세요.,"Erro de geração, tente novamente."
Studio.MaterialGenerator.Errors.UnknownGenerationError,Generation error. Please try again.,Generierungsfehler. Bitte versuche es erneut.,Generation error. Please try again.,Error de generación. Inténtalo de nuevo.,"Erreur de génération, réessayer.",生成エラーです。後でまたお試しください。,생성 오류. 다시 시도하세요.,"Erro de geração, tente novamente."
Studio.MaterialGenerator.Editor.ApplyVariant,Apply Variant,Variante anwenden,Apply Variant,Aplicar variante,Appliquer la variante,バリエーションを適用,변형 적용,Aplicar variante
Studio.MaterialGenerator.MaterialView.ApplyVariant,Apply Variant,Variante anwenden,Apply Variant,Aplicar variante,Appliquer la variante,バリエーションを適用,변형 적용,Aplicar variante
Studio.MaterialGenerator.Editor.BaseMaterialPlaceholderText,None,Keine,None,Ninguno,RobloxSecurity,なし,없음,Nenhum
Studio.MaterialGenerator.MaterialView.BaseMaterialPlaceholderText,None,Keine,None,Ninguno,Aucun,なし,없음,Nenhum
Studio.MaterialGenerator.Editor.BaseMaterialNotGivenError,Required,Erforderlich,Required,Obligatorio,Requis,必須,필수,Obrigatório
Studio.MaterialGenerator.MaterialView.BaseMaterialNotGivenError,Required,Erforderlich,Required,Obligatorio,Requis,必須,필수,Obrigatório
Studio.MaterialGenerator.Browser.Remove,Discard,Verwerfen,Discard,Descartar,Rejeter,破棄,폐기,Descartar
Studio.MaterialGenerator.TextureBrowser.Remove,Discard,Verwerfen,Discard,Descartar,Rejeter,破棄,폐기,Descartar
Studio.MaterialGenerator.Errors.NoSelectedMaterial,Please choose a base material.,Bitte wähle ein Basismaterial.,Please choose a base material.,Selecciona un material base.,Choisir un matériau de base.,ベース素材を選択してください。,기본 재질을 선택하세요.,Escolha um material base.
Studio.MaterialGenerator.Errors.ServerError500,"Server error, please try again.","Serverfehler, bitte versuche es erneut.","Server error, please try again.",Error del servidor. Inténtelo de nuevo.,Erreur serveur. Réessaie.,サーバーエラーです。もう一度お試しください。,서버 오류. 다시 시도하세요.,"Erro do servidor, tente novamente."
Studio.MaterialGenerator.Errors.ServerError504,"Server error, please try again.","Serverfehler, bitte versuche es erneut.","Server error, please try again.",Error del servidor. Inténtelo de nuevo.,Erreur serveur. Réessaie.,サーバーエラーです。もう一度お試しください。,서버 오류. 다시 시도하세요.,"Erro do servidor, tente novamente."
Studio.MaterialGenerator.Errors.TextFullyFiltered,Your text is fully filtered. Please try a different prompt.,Dein Text ist vollständig gefiltert. Bitte versuche eine andere Eingabeaufforderung.,Your text is fully filtered. Please try a different prompt.,El texto está completamente filtrado. Intente con una pregunta diferente.,Ton texte est entièrement filtré. Essayer un autre message.,テキストが完全にフィルタされています。別のプロンプトを試してください。,텍스트가 완전히 필터링되었습니다. 다른 질문을 해 보세요.,Seu texto foi totalmente filtrado. Tente uma entrada de texto diferente.
Studio.MaterialGenerator.Errors.FailedToSetImage,Failed to set image. Please try again.,Fehler beim Einstellen des Bildes. Bitte versuche es erneut.,Failed to set image. Please try again.,Error al establecer la imagen. Inténtelo de nuevo.,Impossible de définir l'image. Veuillez Réessayer.,画像を設定できませんでした。もう一度やり直してください。,이미지를 설정하지 못했습니다. 다시 시도하세요.,Falha ao definir imagem. Tente novamente.
